Order,Order Date,Region,Channel,Category,Product,Customer Segment,Units,Unit Price,Discount,Revenue,Cost,Margin,Fulfilled,Returned,Delivery Days
55,2024-02-24,East,Web,Home,Desk Lamp,Consumer,3,31.85,0.10,86.00,44.72,41.28,true,false,2
56,2024-02-25,West,Store,Home,Storage Bin,Small Business,2,17.83,0.20,28.52,13.41,15.12,true,false,1
57,2024-02-26,North,Wholesale,Outdoors,Trail Bottle,Enterprise,4,24.60,0.00,98.41,43.30,55.11,true,false,2
58,2024-02-27,South,Web,Outdoors,Camp Chair,Consumer,1,73.13,0.05,69.48,40.30,29.18,true,false,3
59,2024-02-28,East,Store,Kitchen,Chef Pan,Small Business,1,44.72,0.10,40.25,22.14,18.11,true,false,3
60,2024-02-29,West,Wholesale,Electronics,USB Hub,Enterprise,10,26.35,0.20,210.79,132.80,77.99,true,false,6
61,2024-03-01,North,Web,Home,Desk Lamp,Consumer,5,32.13,0.00,160.66,83.55,77.12,true,false,2
62,2024-03-02,South,Store,Home,Storage Bin,Small Business,1,17.94,0.05,17.04,8.01,9.03,true,false,
63,2024-03-03,East,Wholesale,Outdoors,Trail Bottle,Enterprise,1,25.01,0.10,22.51,9.90,12.61,true,false,5
64,2024-03-04,West,Web,Outdoors,Camp Chair,Consumer,11,74.96,0.20,659.63,382.59,277.05,false,false,1
65,2024-03-05,North,Store,Kitchen,Chef Pan,Small Business,4,48.34,0.00,193.35,106.34,87.01,true,false,6
66,2024-03-06,South,Wholesale,Electronics,USB Hub,Enterprise,13,29.60,0.05,365.59,230.32,135.27,true,false,4
67,2024-03-07,East,Web,Home,Desk Lamp,Consumer,5,33.36,0.10,150.12,78.06,72.06,true,false,3
68,2024-03-08,West,Store,Home,Storage Bin,Small Business,24,17.30,0.20,332.16,156.12,176.05,true,false,5
69,2024-03-09,North,Wholesale,Outdoors,Trail Bottle,Enterprise,3,23.16,0.00,69.49,30.58,38.92,true,false,4
70,2024-03-10,South,Web,Outdoors,Camp Chair,Consumer,7,72.87,0.05,484.62,281.08,203.54,true,false,2
71,2024-03-11,East,Store,Kitchen,Chef Pan,Small Business,1,43.47,0.10,39.12,21.52,17.60,true,false,2
72,2024-03-12,West,Wholesale,Electronics,USB Hub,Enterprise,5,26.64,0.20,106.58,67.14,39.43,true,false,4
73,2024-03-13,North,Web,Home,Desk Lamp,Consumer,13,32.56,0.00,423.30,220.12,203.19,true,false,4
74,2024-03-14,South,Store,Home,Storage Bin,Small Business,19,18.16,0.05,327.82,154.08,173.74,true,false,1
75,2024-03-15,East,Wholesale,Outdoors,Trail Bottle,Enterprise,13,22.80,0.10,266.74,117.37,149.38,true,true,5
76,2024-03-16,West,Web,Outdoors,Camp Chair,Consumer,16,73.48,0.20,940.50,545.49,395.01,true,false,6
77,2024-03-17,North,Store,Kitchen,Chef Pan,Small Business,4,46.66,0.00,186.65,102.66,83.99,true,false,1
78,2024-03-18,South,Wholesale,Electronics,USB Hub,Enterprise,7,28.03,0.05,186.42,117.45,68.98,true,false,6
79,2024-03-19,East,Web,Home,Desk Lamp,Consumer,13,33.92,0.10,396.85,206.36,190.49,true,false,3
80,2024-03-20,West,Store,Home,Storage Bin,Small Business,25,17.80,,444.99,209.15,235.85,true,false,6
81,2024-03-21,North,Wholesale,Outdoors,Trail Bottle,Enterprise,2,23.05,0.00,46.10,20.28,25.82,true,false,6
82,2024-03-22,South,Web,Outdoors,Camp Chair,Consumer,3,69.87,0.05,199.12,115.49,83.63,true,false,5
83,2024-03-23,East,Store,Kitchen,Chef Pan,Small Business,4,46.47,0.10,167.30,92.02,75.29,true,false,2
84,2024-03-24,West,Wholesale,Electronics,USB Hub,Enterprise,24,27.43,0.20,526.58,331.74,194.83,true,false,6
85,2024-03-25,North,Web,Home,Desk Lamp,Consumer,7,33.88,0.00,237.14,123.31,113.82,true,false,2
86,2024-03-26,South,Store,Home,Storage Bin,Small Business,13,17.12,0.05,211.37,99.35,112.03,true,false,1
87,2024-03-27,East,Wholesale,Outdoors,Trail Bottle,Enterprise,4,23.71,0.10,85.36,37.56,47.80,true,false,4
88,2024-03-28,West,Web,Outdoors,Camp Chair,Consumer,5,69.65,0.20,278.60,161.59,117.01,false,false,4
89,2024-03-29,North,Store,Kitchen,Chef Pan,Small Business,17,45.18,0.00,768.04,422.42,345.62,false,false,3
90,2024-03-30,South,Wholesale,Electronics,USB Hub,Enterprise,1,28.17,0.05,26.76,16.86,9.90,true,false,3
91,2024-03-31,East,Web,Home,Desk Lamp,Consumer,14,31.02,0.10,390.80,203.22,187.58,true,false,1
92,2024-04-01,West,Store,Home,Storage Bin,Small Business,5,18.67,0.20,74.68,35.10,39.58,false,false,5
93,2024-04-02,North,Wholesale,Outdoors,Trail Bottle,Enterprise,17,25.34,0.00,430.80,189.55,241.25,true,false,5
94,2024-04-03,South,Web,Outdoors,Camp Chair,Consumer,2,72.20,0.05,137.19,79.57,57.62,false,false,1
95,2024-04-04,East,Store,Kitchen,Chef Pan,Small Business,9,44.57,0.10,360.98,198.54,162.44,false,false,4
96,2024-04-05,West,Wholesale,Electronics,USB Hub,Enterprise,2,28.40,0.20,45.45,28.63,16.82,true,false,3
97,2024-04-06,North,Web,Home,Desk Lamp,Consumer,4,33.35,0.00,133.41,69.37,64.04,true,false,6
98,2024-04-07,South,Store,Home,Storage Bin,Small Business,7,16.94,0.05,112.65,52.95,59.70,true,false,6
99,2024-04-08,East,Wholesale,Outdoors,Trail Bottle,Enterprise,1,22.99,0.10,20.69,9.10,11.59,true,false,2
100,2024-04-09,West,Web,Outdoors,Camp Chair,Consumer,17,71.19,0.20,968.24,561.58,406.66,false,false,5
101,2024-04-10,North,Store,Kitchen,Chef Pan,Small Business,5,48.72,0.00,243.62,133.99,109.63,true,false,1
102,2024-04-11,South,Wholesale,Electronics,USB Hub,Enterprise,14,28.81,0.05,383.21,241.42,141.79,true,false,3
103,2024-04-12,East,Web,Home,Desk Lamp,Consumer,8,32.56,0.10,234.41,121.89,112.52,true,false,4
104,2024-04-13,West,Store,Home,Storage Bin,Small Business,6,17.10,0.20,82.07,38.57,43.50,true,false,4
105,2024-04-14,North,Wholesale,Outdoors,Trail Bottle,Enterprise,6,22.77,0.00,136.60,60.10,76.50,true,false,5
106,2024-04-15,South,Web,Outdoors,Camp Chair,Consumer,19,73.81,0.05,1332.29,772.73,559.56,true,false,4
107,2024-04-16,East,Store,Kitchen,Chef Pan,Small Business,1,47.03,0.10,42.33,23.28,19.05,true,false,6
108,2024-04-17,West,Wholesale,Electronics,USB Hub,Enterprise,10,28.53,0.20,228.27,143.81,84.46,true,false,2
109,2024-04-18,North,Web,Home,Desk Lamp,Consumer,19,30.64,0.00,582.25,302.77,279.48,true,false,6
110,2024-04-19,South,Store,Home,Storage Bin,Small Business,4,17.12,0.05,65.05,30.58,34.48,true,false,4
111,2024-04-20,East,Wholesale,Outdoors,Trail Bottle,Enterprise,2,23.23,0.10,41.82,18.40,23.42,true,false,3
112,2024-04-21,West,Web,Outdoors,Camp Chair,Consumer,180,71.31,0.20,10268.47,5955.71,4312.76,true,true,6
113,2024-04-22,North,Store,Kitchen,Chef Pan,Small Business,5,47.48,0.00,237.40,130.57,106.83,true,false,3
114,2024-04-23,South,Wholesale,Electronics,USB Hub,Enterprise,28,29.51,0.05,785.07,494.59,290.48,true,false,5
115,2024-04-24,East,Web,Home,Desk Lamp,Consumer,1,33.25,0.10,29.92,15.56,14.36,true,false,1
116,2024-04-25,West,Store,Home,Storage Bin,Small Business,28,18.62,0.20,417.04,196.01,221.03,true,false,6
117,2024-04-26,North,Wholesale,Outdoors,Trail Bottle,Enterprise,21,25.10,0.00,527.19,231.96,295.23,true,false,1
118,2024-04-27,South,Web,Outdoors,Camp Chair,Consumer,8,74.76,0.05,568.19,329.55,238.64,true,false,6
119,2024-04-28,East,Store,Kitchen,Chef Pan,Small Business,1,47.09,0.10,42.38,23.31,19.07,true,false,1
120,2024-04-29,West,Wholesale,Electronics,USB Hub,Enterprise,11,28.31,0.20,249.16,156.97,92.19,true,false,1
121,2024-04-30,North,Web,Home,Desk Lamp,Consumer,1,32.92,0.00,32.92,17.12,15.80,true,false,2
122,2024-05-01,South,Store,Home,Storage Bin,Small Business,6,19.08,0.05,108.73,51.10,57.63,true,false,3
123,2024-05-02,East,Wholesale,Outdoors,Trail Bottle,Enterprise,3,24.97,0.10,67.41,29.66,37.75,true,false,
124,2024-05-03,West,Web,Outdoors,Camp Chair,Consumer,1,73.87,0.20,59.10,34.28,24.82,true,false,1
125,2024-05-04,North,Store,Kitchen,Chef Pan,Small Business,2,43.79,0.00,87.59,48.17,39.41,true,false,4
126,2024-05-05,South,Wholesale,Electronics,USB Hub,Enterprise,1,26.72,0.05,25.39,15.99,9.39,true,false,1
127,2024-05-06,East,Web,Home,Desk Lamp,Consumer,13,31.06,0.10,363.35,188.94,174.41,true,false,2
128,2024-05-07,West,Store,Home,Storage Bin,Small Business,1,17.58,0.20,14.06,6.61,7.45,false,false,1
129,2024-05-08,North,Wholesale,Outdoors,Trail Bottle,Enterprise,1,23.53,0.00,23.53,10.35,13.18,true,false,5
130,2024-05-09,South,Web,Outdoors,Camp Chair,Consumer,8,73.75,0.05,560.47,325.07,235.40,true,false,6
131,2024-05-10,East,Store,Kitchen,Chef Pan,Small Business,10,43.42,0.10,390.74,214.90,175.83,true,false,1
132,2024-05-11,West,Wholesale,Electronics,USB Hub,Enterprise,19,29.17,0.20,443.35,279.31,164.04,true,false,1
133,2024-05-12,North,Web,Home,Desk Lamp,Consumer,23,30.55,0.00,702.58,365.34,337.24,true,false,2
134,2024-05-13,South,Store,Home,Storage Bin,Small Business,1,17.52,0.05,16.65,7.82,8.82,true,false,3
135,2024-05-14,East,Wholesale,Outdoors,Trail Bottle,Enterprise,3,24.48,0.10,66.08,29.08,37.01,true,false,3
136,2024-05-15,West,Web,Outdoors,Camp Chair,Consumer,7,73.84,0.20,413.51,239.84,173.67,true,false,4
137,2024-05-16,North,Store,Kitchen,Chef Pan,Small Business,30,46.51,0.00,1395.45,767.50,627.95,true,false,1
138,2024-05-17,South,Wholesale,Electronics,USB Hub,Enterprise,31,29.14,0.05,858.22,540.68,317.54,true,false,4
139,2024-05-18,East,Web,Home,Desk Lamp,Consumer,7,32.26,0.10,203.26,105.70,97.57,true,false,6
140,2024-05-19,West,Store,Home,Storage Bin,Small Business,2,18.42,0.20,29.47,13.85,15.62,true,false,3
141,2024-05-20,North,Wholesale,Outdoors,Trail Bottle,Enterprise,1,24.39,0.00,24.39,10.73,13.66,true,false,3
142,2024-05-21,South,Web,Outdoors,Camp Chair,Consumer,8,72.99,0.05,554.73,321.74,232.98,true,false,3
143,2024-05-22,East,Store,Kitchen,Chef Pan,Small Business,29,46.31,0.10,1208.59,664.73,543.87,true,false,2
144,2024-05-23,West,Wholesale,Electronics,USB Hub,Enterprise,1,29.30,0.20,23.44,14.77,8.67,true,false,2
145,2024-05-24,North,Web,Home,Desk Lamp,Consumer,9,30.81,0.00,277.30,144.20,133.10,true,false,3
146,2024-05-25,South,Store,Home,Storage Bin,Small Business,1,17.12,0.05,16.27,7.65,8.62,true,false,6
147,2024-05-26,East,Wholesale,Outdoors,Trail Bottle,Enterprise,11,25.39,0.10,251.33,110.58,140.74,true,false,2
148,2024-05-27,West,Web,Outdoors,Camp Chair,Consumer,2,73.11,0.20,116.98,67.85,49.13,true,false,6
149,2024-05-28,North,Store,Kitchen,Chef Pan,Small Business,2,43.92,0.00,87.84,48.31,39.53,true,true,5
150,2024-05-29,South,Wholesale,Electronics,USB Hub,Enterprise,10,27.65,0.05,262.66,165.48,97.18,true,false,5
151,2024-05-30,East,Web,Home,Desk Lamp,Consumer,1,32.65,0.10,29.39,15.28,14.11,true,false,2
152,2024-05-31,West,Store,Home,Storage Bin,Small Business,14,18.55,0.20,207.77,97.65,110.12,false,false,6
153,2024-06-01,North,Wholesale,Outdoors,Trail Bottle,Enterprise,1,24.97,0.00,24.97,10.99,13.98,true,false,1
154,2024-06-02,South,Web,Outdoors,Camp Chair,Consumer,10,73.76,0.05,700.72,406.42,294.30,false,false,6
155,2024-06-03,East,Store,Kitchen,Chef Pan,Small Business,6,47.23,0.10,255.05,140.28,114.77,false,false,4
156,2024-06-04,West,Wholesale,Electronics,USB Hub,Enterprise,14,26.78,0.20,299.92,188.95,110.97,true,false,5
157,2024-06-05,North,Web,Home,Desk Lamp,Consumer,22,33.40,0.00,734.81,382.10,352.71,true,false,2
158,2024-06-06,South,Store,Home,Storage Bin,Small Business,1,16.99,0.05,16.14,7.58,8.55,true,false,1
159,2024-06-07,East,Wholesale,Outdoors,Trail Bottle,Enterprise,22,25.02,,550.42,242.19,308.24,true,false,4
160,2024-06-08,West,Web,Outdoors,Camp Chair,Consumer,10,70.76,0.20,566.05,328.31,237.74,true,false,3
161,2024-06-09,North,Store,Kitchen,Chef Pan,Small Business,21,45.78,0.00,961.32,528.73,432.60,true,false,5
162,2024-06-10,South,Wholesale,Electronics,USB Hub,Enterprise,28,29.07,0.05,773.22,487.13,286.09,true,false,1
163,2024-06-11,East,Web,Home,Desk Lamp,Consumer,14,32.60,0.10,410.79,213.61,197.18,true,false,4
164,2024-06-12,West,Store,Home,Storage Bin,Small Business,6,17.68,0.20,84.85,39.88,44.97,true,false,2
165,2024-06-13,North,Wholesale,Outdoors,Trail Bottle,Enterprise,3,23.79,0.00,71.37,31.40,39.97,true,false,6
166,2024-06-14,South,Web,Outdoors,Camp Chair,Consumer,12,70.09,0.05,799.07,463.46,335.61,true,false,5
167,2024-06-15,East,Store,Kitchen,Chef Pan,Small Business,9,48.73,0.10,394.71,217.09,177.62,true,false,6
168,2024-06-16,West,Wholesale,Electronics,USB Hub,Enterprise,14,27.57,0.20,308.78,194.53,114.25,true,false,4
169,2024-06-17,North,Web,Home,Desk Lamp,Consumer,1,32.96,0.00,32.96,17.14,15.82,true,false,4
170,2024-06-18,South,Store,Home,Storage Bin,Small Business,16,17.55,0.05,266.77,125.38,141.39,true,false,1
171,2024-06-19,East,Wholesale,Outdoors,Trail Bottle,Enterprise,17,24.49,0.10,374.66,164.85,209.81,true,false,2
172,2024-06-20,West,Web,Outdoors,Camp Chair,Consumer,32,78.37,0.20,2006.19,1163.59,842.60,true,false,6
173,2024-06-21,North,Store,Kitchen,Chef Pan,Small Business,7,47.43,0.00,332.03,182.62,149.41,true,false,1
174,2024-06-22,South,Wholesale,Electronics,USB Hub,Enterprise,1,26.46,0.05,25.13,15.83,9.30,true,false,3
175,2024-06-23,East,Web,Home,Desk Lamp,Consumer,1,30.97,0.10,27.87,14.49,13.38,false,false,4
176,2024-06-24,West,Store,Home,Storage Bin,Small Business,25,18.97,0.20,379.41,178.32,201.09,true,false,1
177,2024-06-25,North,Wholesale,Outdoors,Trail Bottle,Enterprise,1,24.68,0.00,24.68,10.86,13.82,true,false,1
178,2024-06-26,South,Web,Outdoors,Camp Chair,Consumer,6,77.41,0.05,441.26,255.93,185.33,true,false,1
179,2024-06-27,East,Store,Kitchen,Chef Pan,Small Business,7,48.03,0.10,302.60,166.43,136.17,true,false,6
180,2024-06-28,West,Wholesale,Electronics,USB Hub,Enterprise,17,28.53,0.20,388.05,244.47,143.58,true,false,4
181,2024-06-29,North,Web,Home,Desk Lamp,Consumer,31,33.80,0.00,1047.73,544.82,502.91,true,false,2
182,2024-06-30,South,Store,Home,Storage Bin,Small Business,6,17.20,0.05,98.02,46.07,51.95,true,false,2
183,2024-07-01,East,Wholesale,Outdoors,Trail Bottle,Enterprise,28,22.82,0.10,575.16,253.07,322.09,true,false,4
184,2024-07-02,West,Web,Outdoors,Camp Chair,Consumer,25,71.38,0.20,1427.54,827.98,599.57,true,false,
185,2024-07-03,North,Store,Kitchen,Chef Pan,Small Business,18,47.04,0.00,846.71,465.69,381.02,true,false,2
186,2024-07-04,South,Wholesale,Electronics,USB Hub,Enterprise,9,26.96,0.05,230.53,145.24,85.30,true,true,2
187,2024-07-05,East,Web,Home,Desk Lamp,Consumer,21,30.75,0.10,581.19,302.22,278.97,true,false,6
188,2024-07-06,West,Store,Home,Storage Bin,Small Business,19,17.88,0.20,271.75,127.72,144.03,true,false,3
189,2024-07-07,North,Wholesale,Outdoors,Trail Bottle,Enterprise,5,25.10,0.00,125.50,55.22,70.28,true,false,5
190,2024-07-08,South,Web,Outdoors,Camp Chair,Consumer,4,70.91,0.05,269.48,156.30,113.18,true,false,3
191,2024-07-09,East,Store,Kitchen,Chef Pan,Small Business,8,47.72,0.10,343.59,188.97,154.61,true,false,2
192,2024-07-10,West,Wholesale,Electronics,USB Hub,Enterprise,33,27.62,0.20,729.20,459.39,269.80,false,false,6
193,2024-07-11,North,Web,Home,Desk Lamp,Consumer,4,33.83,0.00,135.33,70.37,64.96,true,false,4
194,2024-07-12,South,Store,Home,Storage Bin,Small Business,13,17.04,0.05,210.41,98.89,111.52,true,false,2
195,2024-07-13,East,Wholesale,Outdoors,Trail Bottle,Enterprise,16,25.09,0.10,361.36,159.00,202.36,true,false,2
196,2024-07-14,West,Web,Outdoors,Camp Chair,Consumer,1,76.93,0.20,61.54,35.69,25.85,true,false,2
197,2024-07-15,North,Store,Kitchen,Chef Pan,Small Business,8,46.08,0.00,368.68,202.77,165.91,true,false,6
198,2024-07-16,South,Wholesale,Electronics,USB Hub,Enterprise,16,28.96,0.05,440.12,277.28,162.84,true,false,5
199,2024-07-17,East,Web,Home,Desk Lamp,Consumer,3,31.95,0.10,86.26,44.85,41.40,true,false,1
200,2024-07-18,West,Store,Home,Storage Bin,Small Business,28,17.33,0.20,388.19,182.45,205.74,true,false,4
201,2024-07-19,North,Wholesale,Outdoors,Trail Bottle,Enterprise,24,24.87,0.00,596.79,262.59,334.20,true,false,6
202,2024-07-20,South,Web,Outdoors,Camp Chair,Consumer,5,71.76,0.05,340.86,197.70,143.16,false,false,2
203,2024-07-21,East,Store,Kitchen,Chef Pan,Small Business,6,43.28,0.10,233.69,128.53,105.16,false,false,3
204,2024-07-22,West,Wholesale,Electronics,USB Hub,Enterprise,28,26.78,0.20,599.83,377.89,221.94,true,false,1
205,2024-07-23,North,Web,Home,Desk Lamp,Consumer,14,32.83,0.00,459.56,238.97,220.59,true,true,4
206,2024-07-24,South,Store,Home,Storage Bin,Small Business,8,17.78,0.05,135.16,63.52,71.63,true,false,5
207,2024-07-25,East,Wholesale,Outdoors,Trail Bottle,Enterprise,6,23.22,0.10,125.39,55.17,70.22,true,false,5
208,2024-07-26,West,Web,Outdoors,Camp Chair,Consumer,23,69.91,0.20,1286.32,746.07,540.25,true,false,4
209,2024-07-27,North,Store,Kitchen,Chef Pan,Small Business,1,46.03,0.00,46.03,25.32,20.71,false,false,4
210,2024-07-28,South,Wholesale,Electronics,USB Hub,Enterprise,15,28.65,0.05,408.32,257.24,151.08,true,false,1
211,2024-07-29,East,Web,Home,Desk Lamp,Consumer,13,32.28,0.10,377.72,196.42,181.31,true,false,2
212,2024-07-30,West,Store,Home,Storage Bin,Small Business,15,18.38,0.20,220.60,103.68,116.92,true,false,3
213,2024-07-31,North,Wholesale,Outdoors,Trail Bottle,Enterprise,20,23.02,0.00,460.31,202.53,257.77,true,false,4
214,2024-08-01,South,Web,Outdoors,Camp Chair,Consumer,20,76.20,0.05,1447.88,839.77,608.11,true,false,2
215,2024-08-02,East,Store,Kitchen,Chef Pan,Small Business,12,47.27,0.10,510.48,280.76,229.72,true,false,3
216,2024-08-03,West,Wholesale,Electronics,USB Hub,Enterprise,19,28.75,0.20,436.96,275.28,161.68,true,false,1
217,2024-08-04,North,Web,Home,Desk Lamp,Consumer,6,32.57,0.00,195.43,101.62,93.81,true,false,4
218,2024-08-05,South,Store,Home,Storage Bin,Small Business,1,18.96,0.05,18.02,8.47,9.55,true,false,5
219,2024-08-06,East,Wholesale,Outdoors,Trail Bottle,Enterprise,12,23.30,0.10,251.64,110.72,140.92,false,false,1
220,2024-08-07,West,Web,Outdoors,Camp Chair,Consumer,7,72.22,0.20,404.44,234.57,169.86,true,false,4
221,2024-08-08,North,Store,Kitchen,Chef Pan,Small Business,12,45.18,0.00,542.12,298.17,243.95,true,false,4
222,2024-08-09,South,Wholesale,Electronics,USB Hub,Enterprise,17,28.31,0.05,457.26,288.07,169.18,true,false,5
223,2024-08-10,East,Web,Home,Desk Lamp,Consumer,17,33.29,0.10,509.30,264.84,244.46,true,true,6
224,2024-08-11,West,Store,Home,Storage Bin,Small Business,34,19.03,0.20,517.64,243.29,274.35,true,false,3
225,2024-08-12,North,Wholesale,Outdoors,Trail Bottle,Enterprise,13,22.87,0.00,297.26,130.79,166.46,true,false,4
226,2024-08-13,South,Web,Outdoors,Camp Chair,Consumer,1,74.95,0.05,71.20,41.30,29.90,true,false,4
227,2024-08-14,East,Store,Kitchen,Chef Pan,Small Business,31,44.73,0.10,1247.98,686.39,561.59,true,false,1
228,2024-08-15,West,Wholesale,Electronics,USB Hub,Enterprise,14,28.16,0.20,315.34,198.66,116.68,true,false,6
229,2024-08-16,North,Web,Home,Desk Lamp,Consumer,18,30.10,0.00,541.83,281.75,260.08,true,false,2
